gene,pLI
TANC2,1.00000
TCEB3,1.00000
TCF20,1.00000
TDRD1,1.00000
TEK,1.00000
TENM1,1.00000
TENM2,1.00000
TENM4,1.00000
TET1,1.00000
TET3,1.00000
TEX11,1.00000
THOC2,1.00000
THSD7A,1.00000
TJP1,1.00000
TLE3,1.00000
TLK2,1.00000
TLN1,1.00000
TM9SF2,1.00000
TMEM131,1.00000
TNIK,1.00000
TNPO1,1.00000
TNPO2,1.00000
TNRC6A,1.00000
TNRC6B,1.00000
TNRC6C,1.00000
TNS3,1.00000
TOP1,1.00000
TOPBP1,1.00000
TPR,1.00000
TRAPPC10,1.00000
TRAPPC8,1.00000
TRERF1,1.00000
TRIM24,1.00000
TRIM28,1.00000
TRIM33,1.00000
TRIO,1.00000
TRIP12,1.00000
TRPS1,1.00000
TRRAP,1.00000
TSC1,1.00000
TSC2,1.00000
TTC28,1.00000
TTC7B,1.00000
TULP4,1.00000
U2SURP,1.00000
UBA1,1.00000
UBAP2L,1.00000
UBE2O,1.00000
UBE4B,1.00000
UBP1,1.00000
UBR2,1.00000
UBR3,1.00000
UBR4,1.00000
UBR5,1.00000
UBTF,1.00000
UNC13A,1.00000
UNC79,1.00000
UPF1,1.00000
UPF2,1.00000
USP24,1.00000
USP32,1.00000
USP34,1.00000
USP42,1.00000
USP47,1.00000
USP48,1.00000
USP7,1.00000
USP8,1.00000
USP9X,1.00000
VCAN,1.00000
VCPIP1,1.00000
VPRBP,1.00000
WAC,1.00000
WAPAL,1.00000
WDFY3,1.00000
WDR26,1.00000
WDR7,1.00000
WHSC1,1.00000
WHSC1L1,1.00000
WNK1,1.00000
WNK2,1.00000
XPO1,1.00000
XPO4,1.00000
XPO6,1.00000
XPO7,1.00000
XRCC5,1.00000
XRN1,1.00000
YTHDC1,1.00000
YTHDC2,1.00000
ZC3H13,1.00000
ZC3H18,1.00000
ZC3H4,1.00000
ZC3H7A,1.00000
ZCCHC11,1.00000
ZCCHC6,1.00000
ZEB2,1.00000
ZFC3H1,1.00000
ZFHX3,1.00000
ZFHX4,1.00000
ZFPM2,1.00000
ZFR,1.00000
ZMYM3,1.00000
ZMYM4,1.00000
ZMYND8,1.00000
ZNF236,1.00000
ZNF292,1.00000
ZNF407,1.00000
ZNF462,1.00000
ZNF521,1.00000
ZNF541,1.00000
ZNF608,1.00000
ZNF609,1.00000
ZNF638,1.00000
ZSWIM6,1.00000
ZSWIM8,1.00000
ACIN1,0.99999
ADRBK1,0.99999
ANKS1B,0.99999
ARHGAP31,0.99999
ARHGAP42,0.99999
ARHGEF6,0.99999
ARIH1,0.99999
ARMC8,0.99999
ARMCX4,0.99999
ATP9A,0.99999
BAG6,0.99999
CASKIN1,0.99999
CELSR1,0.99999
CMIP,0.99999
COL6A1,0.99999
CSDE1,0.99999
CTNNB1,0.99999
CTNND1,0.99999
CUL4A,0.99999
DAGLA,0.99999
DDX17,0.99999
DDX5,0.99999
DLG3,0.99999
DLL1,0.99999
DNAJC14,0.99999
DPP10,0.99999
EIF4ENIF1,0.99999
EPHB2,0.99999
ETV5,0.99999
EWSR1,0.99999
FAT3,0.99999
FERMT2,0.99999
GABBR2,0.99999
GLI3,0.99999
GPHN,0.99999
HNRNPK,0.99999
HNRNPM,0.99999
ITCH,0.99999
KAT7,0.99999
KIAA0232,0.99999
KIF4A,0.99999
LUC7L3,0.99999
MAP3K2,0.99999
MKL2,0.99999
MN1,0.99999
NCAM1,0.99999
NF2,0.99999
NFASC,0.99999
NFKB2,0.99999
NOL6,0.99999
NPLOC4,0.99999
OCRL,0.99999
OSBPL6,0.99999
PAN3,0.99999
PAXBP1,0.99999
PCIF1,0.99999
PELP1,0.99999
PHF20L1,0.99999
PIAS1,0.99999
PIK3AP1,0.99999
PIK3CD,0.99999
PRDM16,0.99999
PRICKLE1,0.99999
PRMT5,0.99999
PTPN11,0.99999
RALGAPA1,0.99999
RASGRF1,0.99999
RBM27,0.99999
RP11-762I7.5,0.99999
RYR2,0.99999
SATB2,0.99999
SCAF11,0.99999
SFSWAP,0.99999
SMG7,0.99999
SOGA1,0.99999
STAT1,0.99999
SVEP1,0.99999
TAOK1,0.99999
TERT,0.99999
TEX10,0.99999
THRAP3,0.99999
TLE4,0.99999
TLK1,0.99999
TM9SF3,0.99999
TMEM63B,0.99999
UBE3C,0.99999
USP11,0.99999
USP37,0.99999
VCP,0.99999
WDR33,0.99999
WDR43,0.99999
WNK3,0.99999
YLPM1,0.99999
ZDHHC5,0.99999
ZMYND11,0.99999
ZNF592,0.99999
ZNF777,0.99999
ABL1,0.99998
AGO3,0.99998
AHR,0.99998
ALG13,0.99998
ARCN1,0.99998
ASTN1,0.99998
ATF7IP,0.99998
ATP13A3,0.99998
BCORL1,0.99998
BRPF1,0.99998
BRPF3,0.99998
BTK,0.99998
CACNA2D1,0.99998
CACTIN,0.99998
CAD,0.99998
CCAR1,0.99998
CCT3,0.99998
CIC,0.99998
CREBRF,0.99998
DLGAP3,0.99998
EPC2,0.99998
FNDC3A,0.99998
FNIP1,0.99998
GATAD2B,0.99998
GRAMD4,0.99998
GRIN2A,0.99998
HNRNPUL1,0.99998
IPO13,0.99998
IQSEC2,0.99998
KANSL3,0.99998
KDM3A,0.99998
KIF26B,0.99998
MAPK8IP2,0.99998
MAPKAP1,0.99998
MGAT5,0.99998
MORC2,0.99998
NCOA6,0.99998
NRBP1,0.99998
PAPOLA,0.99998
PDE10A,0.99998
PLXNA4,0.99998
POLR1A,0.99998
PPP3CB,0.99998
PTPN6,0.99998
PTPRA,0.99998
RALGPS1,0.99998
SMEK1,0.99998
SP1,0.99998
SUZ12,0.99998
TAB2,0.99998
TAF3,0.99998
TAOK2,0.99998
USP19,0.99998
XPR1,0.99998
ZZZ3,0.99998
AFF3,0.99997
AFTPH,0.99997
CACNA2D2,0.99997
CARM1,0.99997
CEP170B,0.99997
CLIP2,0.99997
CNOT4,0.99997
DLL4,0.99997
DNM2,0.99997
EVI5L,0.99997
FBRS,0.99997
FBXL19,0.99997
FOXP1,0.99997
GRIK3,0.99997
GRIN2D,0.99997
HDAC2,0.99997
IGF2BP3,0.99997
INTS10,0.99997
KCNQ2,0.99997
KIF2A,0.99997
LARP4B,0.99997
LMNB2,0.99997
LMTK3,0.99997
MARK2,0.99997
MKLN1,0.99997
MORC3,0.99997
NRXN1,0.99997
OTUD4,0.99997
PHEX,0.99997
PPP2R5E,0.99997
SOX5,0.99997
SP3,0.99997
TCERG1,0.99997
TOP2B,0.99997
TP53BP1,0.99997
USP15,0.99997
WWC3,0.99997
ZC3H11A,0.99997
ZMIZ2,0.99997
ZNF148,0.99997
ZNF423,0.99997
ABCB7,0.99996
ANKIB1,0.99996
ARFGEF2,0.99996
BMPR2,0.99996
CACNA1B,0.99996
CLK2,0.99996
COPS2,0.99996
DDB1,0.99996
DDX21,0.99996
DNAJC6,0.99996
DOCK2,0.99996
FXR2,0.99996
HDAC9,0.99996
HECW1,0.99996
IL6ST,0.99996
JAK1,0.99996
LIN54,0.99996
MICAL3,0.99996
NAV2,0.99996
PACS2,0.99996
PDE4D,0.99996
PNISR,0.99996
PRPF19,0.99996
PTPN12,0.99996
RANBP3,0.99996
RNF38,0.99996
RPS6KA5,0.99996
SENP6,0.99996
SRCIN1,0.99996
THBS1,0.99996
TTC17,0.99996
UBN1,0.99996
ZNF217,0.99996
API5,0.99995
ARHGAP23,0.99995
ARHGEF7,0.99995
